School code(s),School full name,Level of schooling,School short name,NSSC total FTE students ,Postcode,Street,Subtype,Town/suburb,Status,Region,SEG,SEA,Local Government Area (LGA - Current),College number,Local Government Area (LGA - Old),SLA,NSW Electorate (2023),NSW Electorate (2015),NSW Electorate (Old),Fed. electorate,Old Fed. electorate,School Performance Directorate,School Performance Area,Educational Services Team,Principal Network,FACS District,AusGovID,Old AusGovID,Org unit No,School population gender,Selective school,Sch specialty type,Preschool indicator,Distance ed.,MCEECDYA Remoteness,ASGS Remoteness,Rural and Remote,IEC,Staff classification,Exec classification,Priority school,Demonstration,Postal 1,Postal 2,Phone 1,Phone 2,School website,School email,Fax 1,Fax 2,Late opening,School division,Heat allowance,Yancowinna,Isothermic,Socio-economic,Transfer points,NSW Electorate Code (2023),Date 1st teacher,Date teaching ceased,Date closed,SEA code,Region code,LGA code,Old LGA code,SLA code,NSW Electorate Code (2015),NSW Electorate Code (Old),Federal electorate code,Old Federal electorate code,SEG code,Executive Director Code,Educational Services Team Code,Principal Network Code,ARIA Plus SA1 Avg,Principal Name,Principal Email,School Planning Region,Primary Cluster Code,Primary Cluster Name,Primary Cluster Region,Secondary Cluster Code,Secondary Cluster Name,Secondary Cluster Region,Combined Cluster Code,Combined Cluster Name,Combined Cluster Region,SSP Cluster Code,SSP Cluster Name,SSP Cluster Region
3840,Parramatta East Public School,Primary School,Parramatta East,592,2150,Brabyn St,K to 6 ,Parramatta ,Open,Western Sydney,Cumberland,Parramatta,Parramatta (C),0,Parramatta (C),Parramatta (C) - Inner,Parramatta,Parramatta,Parramatta,Parramatta,Parramatta,Metropolitan South,School Performance South,Macquarie Park,Parramatta,Western Sydney & Nepean Blue Mountains,47843,7843,1127,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9630 2127,9630 3743,https://parramatte-p.schools.nsw.gov.au,parramatte-p.school@det.nsw.edu.au,9683 5942,,No,E,N,N,N,0,1,6137,1/01/1949,,,329,533,16260,16250,16251,73,66,35,36,627,26008,24625,26021,0,"Miller, Justine                         ",justine.miller@det.nsw.edu.au                                                                                                   ,Metropolitan Sydney,10102,Parramatta CBD Primary,Metro - West Central,,,,,,,,,
3846,Melrose Park Public School,Primary School,Melrose Park,211,2114,110 Wharf Rd,K to 6 ,West Ryde ,Open,Northern Sydney,Lane Cove Network,Ryde,Parramatta (C),0,Parramatta (C),Parramatta (C) - North-East,Parramatta,Parramatta,Parramatta,Bennelong,Bennelong,Metropolitan North,School Performance North,Macquarie Park,Ryde,Western Sydney & Nepean Blue Mountains,46136,6136,1128,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9874 4669,,https://melrosepk-p.schools.nsw.gov.au,melrosepk-p.school@det.nsw.edu.au,9804 7534,,No,E,N,N,N,0,1,6137,1/01/1945,,,334,531,16260,16250,16252,73,66,3,3,612,25990,24625,26003,0,"Kristensen, Clare                       ",clare.kristensen@det.nsw.edu.au,Metropolitan Sydney,10029,West Ryde Primary,Metro - North,,,,,,,,,
3847,Bathurst South Public School,Primary School,Bathurst South,223,2795,Havannah St,K to 6 ,Bathurst ,Open,Western NSW,Bathurst,Bathurst,Bathurst Regional (A),0,Bathurst Regional (A),Bathurst Regional (A) - Pt A,Bathurst,Bathurst,Bathurst,Calare,Calare,Regional North and West,School Performance North,Wagga Wagga,Bathurst,"Murrumbidgee, Far West & Western NSW",50976,10976,1129,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6331 1297,,https://bathursts-p.schools.nsw.gov.au,bathursts-p.school@det.nsw.edu.au,6332 1634,,No,E,N,N,Y,0,1,28,01/03/1879,,,305,539,10470,10470,10471,21,7,7,7,671,27470,24706,26087,0.9,"Cross, Gregory                          ",gregory.r.cross@det.nsw.edu.au                                                                                                  ,Central West & Orana,10001,Bathurst City Primary,Central West & Orana,,,,,,,,,
3851,Wallsend South Public School,Primary School,Wallsend South,559,2287,Smith Rd,K to 6 ,Wallsend ,Open,Hunter/Central Coast,H/CC5,Newcastle,Newcastle (C),0,Newcastle (C),Newcastle (C) - Outer West,Wallsend,Wallsend,Wallsend,Newcastle,Charlton,Regional North,School Performance North,Tamworth,Newcastle,Hunter New England & Central Coast,49032,9032,1130,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4955 9963,,https://wallsends-p.schools.nsw.gov.au,wallsends-p.school@det.nsw.edu.au,4950 2179,,No,E,N,N,N,0,1,68,1/01/1952,,,326,534,15900,15900,15904,30,89,31,8,646,26027,24685,26041,0,"Deakin, Kelly                           ",kelly.deakin@det.nsw.edu.au,Hunter,10124,Callaghan Primary,Hunter,,,,,,,,,
3854,Hazelbrook Public School,Primary School,Hazelbrook,366,2779,Great Western Hwy,K to 6 ,Hazelbrook ,Open,Western Sydney,Blue Mountains,Penrith,Blue Mountains (C),0,Blue Mountains (C),Blue Mountains (C),Blue Mountains,Blue Mountains,Blue Mountains,Macquarie,Macquarie,Regional North,School Performance North,Macquarie Park,Blue Mountains,Western Sydney & Nepean Blue Mountains,50859,10859,1131,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4758 6120,,https://hazelbrook-p.schools.nsw.gov.au,hazelbrook-p.school@det.nsw.edu.au,4758 8888,,No,E,N,N,N,0,1,10,1/05/1946,,,330,533,10900,10900,10900,39,11,27,28,630,26027,24625,26028,0.18,"Bourke, Natalie                         ",natalie.m.bourke@det.nsw.edu.au                                                                                                 ,Metropolitan Sydney,10074,Blue Mountains Mid Primary,Metro - West,,,,,,,,,
3855,Turramurra Public School,Primary School,Turramurra,546,2074,Kissing Point Rd,K to 6 ,Turramurra ,Open,Northern Sydney,North Shore Network,Ryde,Ku-ring-gai (A),0,Ku-ring-gai (A),Ku-ring-gai (A),Wahroonga,Ku-ring-gai,Ku-ring-gai,Bradfield,Bradfield,Metropolitan North,School Performance North,Macquarie Park,Gordon,"South Eastern Sydney, Northern Sydney & Sydney",47635,7635,1132,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9983 9455,9983 9464,https://turramurra-p.schools.nsw.gov.au,turramurra-p.school@det.nsw.edu.au,9983 9337,,No,E,N,N,N,0,1,76,1/01/1953,,,334,531,14500,14500,14500,62,40,6,6,613,25990,24625,25996,0,"Moran, Anthony                          ",anthony.moran@det.nsw.edu.au                                                                                                    ,Metropolitan Sydney,10031,St Ives Primary,Metro - North,,,,,,,,,
3856,Wyrallah Road Public School,Primary School,Wyrallah Road,485,2480,152 Nielson St,K to 6 ,Lismore ,Open,North Coast,The Wilson,Lismore,Lismore (C),0,Lismore (C),Lismore (C) - Pt A,Lismore,Lismore,Lismore,Page,Page,Rural North,School Performance North,Tamworth,Lismore,Mid North Coast & Northern NSW,49902,9902,1133,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6621 3363,6621 4870,https://wyrallahrd-p.schools.nsw.gov.au,wyrallahrd-p.school@det.nsw.edu.au,6622 2952,,No,E,N,N,N,0,1,58,1/01/1952,,,320,535,14850,14850,14851,2,44,33,34,635,26062,24685,26071,0.56,"Hockings, Gareth                        ",gareth.hockings@det.nsw.edu.au,North Coast,10174,Lismore Primary,North Coast,,,,,,,,,
3860,Oak Flats Public School,Primary School,Oak Flats,478,2529,Griffiths St,K to 6 ,Oak Flats ,Open,Illawarra and South East,Shellharbour,Shellharbour,Shellharbour (C),0,Shellharbour (C),Shellharbour (C),Shellharbour,Shellharbour,Shellharbour,Whitlam,Throsby,Regional South,School Performance South,Wagga Wagga,Lake Illawarra South,Illawarra Shoalhaven & Southern NSW,50033,10033,1134,Coed School,N,Comprehensive,Yes,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,4256 1405,,https://oakflats.nsw.edu.au,oakflats-p.school@det.nsw.edu.au,4256 1800,,No,E,N,N,N,0,1,90,1/01/1952,,,335,538,16900,16900,16900,36,74,47,44,667,26045,24706,26053,0.13,"Wigny, Alice                            ",alice.wigny@det.nsw.edu.au                                                                                                      ,Illawarra,10010,Lake Illawarra Primary,Illawarra,,,,,,,,,
3862,Denistone East Public School,Primary School,Denistone East,767,2122,Lovell Rd,K to 6 ,Eastwood ,Open,Northern Sydney,Lane Cove Network,Ryde,Ryde (C),0,Ryde (C),Ryde (C),Ryde,Ryde,Ryde,Bennelong,Bennelong,Metropolitan North,School Performance North,Macquarie Park,Ryde,"South Eastern Sydney, Northern Sydney & Sydney",47740,7740,1135,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9874 6678,9874 4479,https://denistonee-p.schools.nsw.gov.au,denistonee-p.school@det.nsw.edu.au,9858 5300,,No,E,N,N,N,0,1,16,1/06/1950,,,334,531,16700,16700,16700,65,73,3,3,612,25990,24625,26003,0,"Collyer, Michelle                       ",michelle.collyer@det.nsw.edu.au                                                                                                 ,Metropolitan Sydney,10028,Ryde Primary,Metro - North,,,,,,,,,
3863,Meadowbank Public School,Primary School,Meadowbank,544,2114,6 Rhodes St,K to 6 ,MEADOWBANK,Open,Northern Sydney,Lane Cove Network,Ryde,Ryde (C),0,Ryde (C),Ryde (C),Ryde,Ryde,Ryde,Bennelong,Bennelong,Metropolitan North,School Performance North,Macquarie Park,Ryde,"South Eastern Sydney, Northern Sydney & Sydney",47732,7732,1136,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9809 3648,,https://meadowbank-p.schools.nsw.gov.au,meadowbank-p.school@det.nsw.edu.au,9807 2121,,No,E,N,N,N,0,1,16,1/08/1950,,,334,531,16700,16700,16700,65,73,3,3,612,25990,24625,26003,0,"Imseih, Louise                          ",louise.imseih@det.nsw.edu.au                                                                                                    ,Metropolitan Sydney,10029,West Ryde Primary,Metro - North,,,,,,,,,
3864,Uralla Central School,Central/Community School,Uralla Central,322,2358,Park St,K to 12,Uralla ,Open,New England,New England Central,Armidale,Uralla (A),0,Uralla (A),Uralla (A),Northern Tablelands,Northern Tablelands,Northern Tablelands,New England,New England,Rural North,School Performance North,Tamworth,Armidale,Hunter New England & Central Coast,49395,9395,1137,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6778 4204,6778 4116,https://uralla-c.schools.nsw.gov.au,uralla-c.school@det.nsw.edu.au,6778 5090,,No,E,N,N,Y,0,1,62,01/01/1862,,,302,536,17650,17650,17650,15,62,30,31,653,26062,24685,26063,2.38,"Rathborne, Michael                      ",michael.rathborne@det.nsw.edu.au,North Coast,10197,Uralla Primary,North Coast,20063,Armidale-Uralla Secondary,New England - North West,,,,,,
3866,Towradgi Public School,Primary School,Towradgi,184,2519,Carters Lane,K to 6 ,Fairy Meadow,Open,Illawarra and South East,Wollongong Nth,Wollongong,Wollongong (C),0,Wollongong (C),Wollongong (C) - Inner,Wollongong,Wollongong,Keira,Cunningham,Cunningham,Regional South,School Performance South,Wagga Wagga,Wollongong,Illawarra Shoalhaven & Southern NSW,50001,10001,1138,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4284 4527,,https://towradgi-p.schools.nsw.gov.au,towradgi-p.school@det.nsw.edu.au,4284 8826,,No,E,N,N,N,0,1,38,1/01/1953,,,343,538,18450,18450,18451,37,37,11,12,669,26045,24706,26060,0.13,"Cavill, Jacqueline                      ",jacqueline.cavill@det.nsw.edu.au,Illawarra,10003,North Wollongong Primary,Illawarra,,,,,,,40005,Illawarra SSP,Illawarra
3867,Lake Illawarra South Public School,Primary School,Lake Illawarra South,195,2528,119-129 Reddall Parade,K to 6 ,LAKE ILLAWARRA,Open,Illawarra and South East,Shellharbour,Shellharbour,Shellharbour (C),0,Shellharbour (C),Shellharbour (C),Shellharbour,Shellharbour,Shellharbour,Whitlam,Throsby,Regional South,School Performance South,Wagga Wagga,Lake Illawarra South,Illawarra Shoalhaven & Southern NSW,50026,10026,1139,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,,,4295 1924,4295 1934,https://lakeillaws-p.schools.nsw.gov.au,lakeillaws-p.school@det.nsw.edu.au,4297 2803,,No,E,N,N,N,0,1,90,1/01/1954,,,335,538,16900,16900,16900,36,74,47,44,667,26045,24706,26053,0.13,"Smith, Zoe                              ",zoe.smith67@det.nsw.edu.au                                                                                                      ,Illawarra,10010,Lake Illawarra Primary,Illawarra,,,,,,,,,
3869,Yagoona Public School,Primary School,Yagoona,555,2199,425 Hume Hwy,K to 6 ,Yagoona ,Open,South Western Sydney,Bankstown,Bankstown,Canterbury-Bankstown (A),0,Bankstown (C),Bankstown (C) - North-West,Bankstown,Bankstown,Bankstown,Blaxland,Blaxland,Metropolitan South,School Performance South,Ultimo,Chullora,South Western Sydney,48573,8573,1140,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9790 3562,9790 3888,https://yagoona-p.schools.nsw.gov.au,yagoona-p.school@det.nsw.edu.au,9796 1544,,No,E,N,N,N,0,1,906,1/01/1952,,,303,532,11570,10350,10353,78,5,5,5,614,26008,24663,26016,0,"Wilson, Meaghan                         ",meaghan.wilson@det.nsw.edu.au                                                                                                   ,Metropolitan Sydney,10086,Bankstown Primary,Metro - South,,,,,,,40011,Metro / West Central SSP,Metro - West Central
3871,Wattle Grove Public School,Primary School,Wattle Grove,586,2173,Cressbrook Drive,K to 6 ,Wattle Grove ,Open,South Western Sydney,Ingleburn,Liverpool,Liverpool (C),0,Liverpool (C),Liverpool (C) - East,Holsworthy,Holsworthy,Menai,Hughes,Hughes,Metropolitan South and West,School Performance South,Ultimo,Chipping Norton,South Western Sydney,56646,16646,1141,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9731 1355,,https://wattlegrov-p.schools.nsw.gov.au,wattlegrov-p.school@det.nsw.edu.au,9731 1377,,No,E,N,N,N,0,1,84,1/01/1953,,,321,532,14900,14900,14901,75,52,19,20,620,27472,24663,26015,0,"Cameron, Nicole                         ",nicole.m.cameron@det.nsw.edu.au                                                                                                 ,Metropolitan Sydney,10065,Chipping Norton Primary,Metro - South West,,,,,,,,,
3872,Greenwell Point Public School,Primary School,Greenwell Point,116,2540,Greenwell Point Rd,K to 6 ,Greenwell Point ,Open,Illawarra and South East,Shoalhaven,Shellharbour,Shoalhaven (C),0,Shoalhaven (C),Shoalhaven (C) - Pt B,South Coast,South Coast,South Coast,Gilmore,Gilmore,Regional South,School Performance South,Wagga Wagga,South Coast,Illawarra Shoalhaven & Southern NSW,50073,10073,1142,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,4447 1379,,https://greenwelpt-p.schools.nsw.gov.au,greenwelpt-p.school@det.nsw.edu.au,4447 1550,,No,E,N,N,N,0,1,6956,01/10/1870,,,335,538,16950,16950,16952,19,76,16,17,670,26045,24706,26057,0.78,"Glennan, Catherine                      ",catherine.secombe@det.nsw.edu.au                                                                                                ,Illawarra,10232,Nowra Primary,Illawarra,,,,,,,,,
3873,Dobroyd Point Public School,Primary School,Dobroyd Point,184,2045,89 Waratah Street,K to 6 ,Haberfield,Open,Sydney,Port Jackson,Port Jackson,Inner West (A),0,Ashfield (A),Ashfield (A),Summer Hill,Summer Hill,Balmain,Grayndler,Grayndler,Metropolitan South,School Performance South,Ultimo,Iron Cove,"South Eastern Sydney, Northern Sydney & Sydney",47598,7598,1143,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9797 8249,,https://dobroydpt-p.schools.nsw.gov.au,dobroydpt-p.school@det.nsw.edu.au,,,No,E,N,N,N,0,1,70,1/02/1937,,,331,530,14170,10150,10150,93,4,17,18,601,26008,24663,26018,0,"Morrissey, Susan                        ",susan.morrissey@det.nsw.edu.au                                                                                                  ,Metropolitan Sydney,10018,Orange Grove Primary,Metro - Central,,,,,,,,,
3874,Kahibah Public School,Primary School,Kahibah,347,2290,Frith St,K to 6 ,Kahibah ,Open,Hunter/Central Coast,H/CC7,Newcastle,Lake Macquarie (C),0,Lake Macquarie (C),Lake Macquarie (C) - North,Charlestown,Charlestown,Charlestown,Shortland,Shortland,Regional North,School Performance North,Tamworth,Glenrock,Hunter New England & Central Coast,49091,9091,1144,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,PO Box 5042,Kahibah 2290,4943 4501,4942 3182,https://kahibah-p.schools.nsw.gov.au,kahibah-p.school@det.nsw.edu.au,4942 2590,,No,E,N,N,N,0,1,2,1/01/1938,,,326,534,14650,14650,14653,31,19,41,42,648,26027,24685,26032,0,"Faasisila, Honi                         ",honi.faasisila@det.nsw.edu.au                                                                                                   ,Hunter,10130,Charlestown Primary,Hunter,,,,,,,,,
3875,Narwee Public School,Primary School,Narwee,296,2209,Broadarrow Rd,K to 6 ,Narwee ,Open,South Western Sydney,East Hills,Bankstown,Canterbury-Bankstown (A),0,Canterbury (C),Canterbury (C),Oatley,Oatley,Oatley,Banks,Banks,Metropolitan South,School Performance South,Ultimo,Beverly Hills,"South Eastern Sydney, Northern Sydney & Sydney",48603,8603,1145,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9153 9756,9153 5578,https://narwee-p.schools.nsw.gov.au,narwee-p.school@det.nsw.edu.au,9153 8729,,No,E,N,N,N,0,1,24,1/01/1950,,,303,532,11570,11550,11550,80,63,1,1,616,26008,24663,26011,0,"Monin, Rosemary                         ",rosemary.monin@det.nsw.edu.au                                                                                                   ,Metropolitan Sydney,10041,Riverwood Primary,Metro - South,,,,,,,,,
3876,Muswellbrook South Public School,Primary School,Muswellbrook South,518,2333,Maitland St,K to 6 ,Muswellbrook ,Open,Hunter/Central Coast,H/CC8,Muswellbrook,Muswellbrook (A),0,Muswellbrook (A),Muswellbrook (A),Upper Hunter,Upper Hunter,Upper Hunter,Hunter,Hunter,Regional North and West,School Performance North,Tamworth,Upper Hunter,Hunter New England & Central Coast,49327,9327,1146,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,Yes,N,,,6543 1896,,https://muswellbrs-p.schools.nsw.gov.au,muswellbrs-p.school@det.nsw.edu.au,6543 3475,,No,E,N,N,N,0,1,6144,1/01/1952,,,325,534,15650,15650,15650,22,85,21,22,649,27470,24685,26081,1.34,"Kite, Glen                              ",glen.kite@det.nsw.edu.au                                                                                                        ,Hunter,10184,Muswellbrook Primary,Hunter,,,,,,,40004,Hunter SSP,Hunter
3877,Corrimal East Public School,Primary School,Corrimal East,244,2518,Duff Parade,K to 6 ,East Corrimal,Open,Illawarra and South East,Wollongong Nth,Wollongong,Wollongong (C),0,Wollongong (C),Wollongong (C) - Inner,Wollongong,Keira,Keira,Cunningham,Cunningham,Regional South,School Performance South,Wagga Wagga,Wollongong North,Illawarra Shoalhaven & Southern NSW,49998,9998,1147,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,PO Box 73,CORRIMAL 2518,4284 4582,4284 3980,https://corrimale-p.schools.nsw.gov.au,corrimale-p.school@det.nsw.edu.au,4285 2715,,No,E,N,N,N,0,1,38,1/01/1952,,,343,538,18450,18450,18451,38,37,11,12,669,26045,24706,26061,0.13,"Gammone, Jemima                         ",jemima.burgess1@det.nsw.edu.au                                                                                                  ,Illawarra,10003,North Wollongong Primary,Illawarra,,,,,,,40005,Illawarra SSP,Illawarra
3880,Burraboi Public School,Primary School,Burraboi,,2732,Moama Rd,K to 6 ,Burraboi,Closed,Riverina,Riverina South West,Deniliquin,Murray River (A),0,Wakool (A),Wakool (A),Murray,Murray,Murray-Darling,Farrer,Farrer,Unassigned,,Unassigned,Unassigned,"Murrumbidgee, Far West & Western NSW",10621,10621,1148,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Outer Regional Australia,Yes,No,,,No,N,,,03 5887 2220,,Not currently available,burraboi-p.school@det.nsw.edu.au,03 5887 2240,,Yes,C,N,N,N,5,6,47,1/01/1953,5/02/2007,13/10/2010,313,537,15520,17800,17800,6,57,14,15,657,-1,-1,-1,4.4,,,,,,,,,,,,,,,
3881,Mount St Thomas Public School,Primary School,Mount St Thomas,319,2500,Taronga Ave,K to 6 ,Wollongong ,Open,Illawarra and South East,Wollongong,Wollongong,Wollongong (C),0,Wollongong (C),Wollongong (C) - Inner,Wollongong,Wollongong,Wollongong,Cunningham,Cunningham,Regional South,School Performance South,Wagga Wagga,Wollongong,Illawarra Shoalhaven & Southern NSW,56250,16250,1149,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4229 2192,,https://mtstthomas-p.schools.nsw.gov.au,mtstthomas-p.school@det.nsw.edu.au,4226 5086,,No,E,N,N,N,0,1,38,1/09/1952,,,343,538,18450,18450,18451,37,92,11,12,668,26045,24706,26060,0.13,"Moon, Ronda                             ",ronda.moon@det.nsw.edu.au                                                                                                       ,Illawarra,10007,Wollongong Cbd Primary,Illawarra,,,,,,,,,
3882,Tamworth South Public School,Primary School,Tamworth South,521,2340,Petra Ave,K to 6 ,Tamworth ,Open,New England,New England South,Tamworth,Tamworth Regional (A),0,Tamworth Regional (A),Tamworth Regional (A) - Pt A,Tamworth,Tamworth,Tamworth,New England,New England,Rural North,School Performance North,Tamworth,Peel,Hunter New England & Central Coast,49355,9355,1150,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6765 8426,6765 9556,https://tamworths-p.schools.nsw.gov.au,tamworths-p.school@det.nsw.edu.au,6762 1225,,No,E,N,N,N,0,1,23,1/05/1952,,,338,536,17310,17310,17311,17,80,30,31,654,26062,24685,26077,1.77,"Byrne, Leonie                           ",leonie.byrne@det.nsw.edu.au,New England - North West,10194,Tamworth Primary,New England - North West,,,,,,,40013,New England-North West SSP,New England - North West
3883,Westmead Public School,Primary School,Westmead,1227,2145,Hawkesbury Rd,K to 6 ,Westmead,Open,Western Sydney,Cumberland,Parramatta,Cumberland (A),0,Holroyd (C),Holroyd (C),Granville,Granville,Parramatta,Parramatta,Parramatta,Metropolitan South,School Performance South,Macquarie Park,Parramatta,Western Sydney & Nepean Blue Mountains,47814,7814,1151,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9635 7793,9635 8117,https://westmead-p.schools.nsw.gov.au,westmead-p.school@det.nsw.edu.au,9687 1108,,No,E,N,N,N,0,1,6130,1/04/1917,,,329,533,12380,13950,13950,58,66,35,36,627,26008,24625,26021,0,"Jenkins, David                          ",david.jenkins@det.nsw.edu.au,Metropolitan Sydney,10101,Pendle Hill Primary,Metro - West Central,,,,,,,,,
3885,Mount Colah Public School,Primary School,Mount Colah,448,2079,Telopea St,K to 6 ,Mount Colah ,Open,Northern Sydney,Hornsby Network,Hornsby,Hornsby (A),0,Hornsby (A),Hornsby (A) - North,Hornsby,Hornsby,Hornsby,Berowra,Berowra,Regional North,School Performance North,Macquarie Park,Mooney Mooney,"South Eastern Sydney, Northern Sydney & Sydney",47674,7674,1152,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9477 3627,9477 2375,https://mtcolah-p.schools.nsw.gov.au,mtcolah-p.school@det.nsw.edu.au,9482 2528,,No,E,N,N,N,0,1,89,1/09/1952,,,318,531,14000,14000,14001,59,36,4,4,608,26027,24625,26040,0,"Grimshaw, Jane                          ",jane.grimshaw@det.nsw.edu.au                                                                                                    ,Metropolitan Sydney,10033,Hornsby Primary,Metro - North,,,,,,,,,
3886,McCallums Hill Public School,Primary School,McCallums Hill,354,2196,35-51 McCallum Street,K to 6 ,Roselands,Open,Sydney,Inner West,St George,Canterbury-Bankstown (A),0,Canterbury (C),Canterbury (C),Canterbury,Canterbury,Lakemba,Watson,Watson,Metropolitan South,School Performance South,Ultimo,Beverly Hills,"South Eastern Sydney, Northern Sydney & Sydney",48568,8568,1153,Coed School,N,Comprehensive,No,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,9759 4396,9759 7684,https://mccallumhi-p.schools.nsw.gov.au,mccallumhi-p.school@det.nsw.edu.au,9740 4245,,No,E,N,N,N,0,1,6150,1/07/1928,,,336,530,11570,11550,11550,84,42,44,46,602,26008,24663,26011,0,"Markovski, Elizabeth                    ",elizabeth.markovski@det.nsw.edu.au                                                                                              ,Metropolitan Sydney,10040,Lakemba Primary,Metro - South,,,,,,,40008,Metro / South  SSP,Metro - South
3890,Cooma North Public School,Primary School,Cooma North,262,2630,Baroona Ave,K to 6 ,Cooma North ,Open,Illawarra and South East,Sapphire Coast/Monaro,Queanbeyan,Snowy Monaro Regional (A),0,Cooma-Monaro (A),Cooma-Monaro (A),Monaro,Monaro,Monaro,Eden-Monaro,Eden-Monaro,Rural South and West,School Performance South,Wagga Wagga,Eden-Monaro,Illawarra Shoalhaven & Southern NSW,50427,10427,1154,Coed School,N,Comprehensive,No,No Distance Education,Provincial,Inner Regional Australia,Yes,No,,,No,N,,,6452 1742,,https://coomanth-p.schools.nsw.gov.au,coomanth-p.school@det.nsw.edu.au,6452 4267,,No,E,N,N,Y,0,2,3719,1/01/1953,,,333,538,17040,12050,12050,10,54,13,14,665,26084,24706,26090,1.36,"Tozer, Joanne                           ",jo.tozer@det.nsw.edu.au                                                                                                         ,South East & Tablelands,10227,Rural Queanbeyan Primary,South East & Tablelands,,,,,,,,,
3893,Windale Public School,Primary School,Windale,218,2306,Kilfera St,K to 6 ,Windale ,Open,Hunter/Central Coast,H/CC7,Lake Macquarie,Lake Macquarie (C),0,Lake Macquarie (C),Lake Macquarie (C) - East,Charlestown,Charlestown,Charlestown,Shortland,Shortland,Regional North,School Performance North,Tamworth,Glenrock,Hunter New England & Central Coast,49151,9151,1155,Coed School,N,Comprehensive,Yes,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,Yes,N,PO Box 2,WINDALE 2306,4948 8864,4948 8288,https://windale-p.schools.nsw.gov.au,windale-p.school@det.nsw.edu.au,4948 9720,,No,E,N,N,N,0,1,2,1/01/1953,,,319,534,14650,14650,14651,31,19,41,42,648,26027,24685,26032,0,"Atkins, Craig                           ",craig.atkins7@det.nsw.edu.au,Hunter,10130,Charlestown Primary,Hunter,,,,,,,,,
3895,Cardiff South Public School,Primary School,Cardiff South,281,2285,9 Lake Avenue,K to 6 ,Cardiff South,Open,Hunter/Central Coast,H/CC4,Newcastle,Lake Macquarie (C),0,Lake Macquarie (C),Lake Macquarie (C) - North,Charlestown,Lake Macquarie,Charlestown,Shortland,Charlton,Regional North,School Performance North,Tamworth,Lake Macquarie North,Hunter New England & Central Coast,49005,9005,1156,Coed School,N,Comprehensive,Yes,No Distance Education,Metropolitan,Major Cities of Australia,No,No,,,No,N,,,4954 7296,4954 8975,https://cardiffsth-p.schools.nsw.gov.au,cardiffsth-p.school@det.nsw.edu.au,4956 5730,,No,E,N,N,N,0,1,2,1/01/1952,,,326,534,14650,14650,14653,95,19,41,8,645,26027,24685,26037,0,"Meek, Brett                             ",brett.meek@det.nsw.edu.au,Hunter,10135,Newcastle West Primary,Hunter,,,,,,,,,
